estado,nombre,periodo,partido
Estado de México,Delfina Gómez Álvarez,Desde el 16 de septiembre de 2023,Movimiento de Regeneración Nacional
Michoacán,Eduardo Villaseñor Peña,15 de septiembre de 1992 - 6 de octubre de 1992,Partido Revolucionario Institucional
Michoacán,Ausencio Chávez Hernández,6 de octubre de 1992 - 14 de febrero de 1996,Partido Revolucionario Institucional
Michoacán,Víctor Manuel Tinoco Rubí,15 de febrero de 1996 - 14 de febrero de 2002,Partido Revolucionario Institucional
Michoacán,Lázaro Cárdenas Batel,15 de febrero de 2002 - 14 de febrero de 2008,Partido de la Revolución Democrática
Michoacán,Leonel Godoy Rangel,15 de febrero de 2008 - 14 de febrero de 2012,Partido de la Revolución Democrática
Michoacán,Fausto Vallejo Figueroa,15 de febrero de 2012 - 22 de abril de 2013,Partido Revolucionario Institucional
Michoacán,José Jesús Reyna García,22 de abril de 2013 - 23 de octubre de 2013,Partido Revolucionario Institucional
Michoacán,Fausto Vallejo Figueroa,23 de octubre de 2013 - 20 de junio de 2014,Partido Revolucionario Institucional
Michoacán,Salvador Jara Guerrero,20 de junio de 2014 - 30 de septiembre de 2015,Partido Revolucionario Institucional
Michoacán,Silvano Aureoles Conejo,1 de octubre de 2015 - 30 de septiembre de 2021,Partido de la Revolución Democrática
Michoacán,Alfredo Ramírez Bedolla,Desde el 1 de octubre de 2021,Movimiento de Regeneración Nacional
Morelos,Jorge Carrillo Olea,18 de mayo de 1994 - 19 de mayo de 1998,Partido Revolucionario Institucional
Morelos,Jorge Morales Barud,19 de mayo de 1998 - 18 de mayo de 2000,Partido Revolucionario Institucional
Morelos,Jorge Arturo García Rubí,18 de mayo de 2000 - 30 de septiembre de 2000,Partido Revolucionario Institucional
Morelos,Sergio Alberto Estrada Cajigal Ramírez,1 de octubre de 2000 - 30 de septiembre de 2006,Partido Acción Nacional
Morelos,Marco Antonio Adame Castillo,1 de octubre de 2006 - 30 de septiembre de 2012,Partido Acción Nacional
Morelos,Graco Luis Ramírez Abreu,1 de octubre de 2012 - 30 de septiembre de 2018,Partido de la Revolución Democrática
Morelos,Cuauhtémoc Blanco Bravo,1 de octubre de 2018 - 16 de diciembre de 2021,Partido Encuentro Social
Morelos,Pablo Héctor Ojeda Cárdenas,17 de diciembre de 2021 - 2 de enero de 2022,Partido Encuentro Social
Morelos,Cuauhtémoc Blanco Bravo,3 de enero de 2022 - 4 de abril de 2024,Partido Encuentro Social
Morelos,Samuel Sotelo Salgado,4 de abril de 2024 - 2 de junio de 2024,Movimiento de Regeneración Nacional
Morelos,Cuauhtémoc Blanco Bravo,3 de junio de 2024 - 31 de agosto de 2024,Partido Encuentro Social
Morelos,Samuel Sotelo Salgado,1 de septiembre de 2024 - 30 de septiembre de 2024,Movimiento de Regeneración Nacional
Morelos,Margarita González Saravia Calderón,Desde el 1 de octubre de 2024,Movimiento de Regeneración Nacional
Nayarit,Rigoberto Ochoa Zaragoza,19 de septiembre de 1993 - 18 de septiembre de 1999,Partido Revolucionario Institucional
Nayarit,Antonio Echevarría Domínguez,19 de septiembre de 1999 - 18 de septiembre de 2005,Partido Acción Nacional
Nayarit,Ney González Sánchez,19 de septiembre de 2005 - 18 de septiembre de 2011,Partido Revolucionario Institucional
Nayarit,Roberto Sandoval Castañeda,19 de septiembre de 2011 - 18 de septiembre de 2017,Partido Revolucionario Institucional
Nayarit,Antonio Echevarría García,19 de septiembre de 2017 - 18 de septiembre de 2021,Partido Acción Nacional
Nayarit,Miguel Ángel Navarro Quintero,Desde el 19 de septiembre de 2021,Movimiento de Regeneración Nacional
Nuevo León,Sócrates Rizzo García,1 de agosto de 1991 - 17 de abril de 1996,Partido Revolucionario Institucional
Nuevo León,Benjamín Clariond Reyes-Retana,18 de abril de 1996 - 3 de octubre de 1997,Partido Revolucionario Institucional
Nuevo León,Fernando Canales Clariond,4 de octubre de 1997 - 10 de enero de 2003,Partido Acción Nacional
Nuevo León,Fernando Elizondo Barragán,13 de enero de 2003 - 3 de octubre de 2003,Partido Acción Nacional
Nuevo León,José Natividad González Parás,4 de octubre de 2003 - 3 de octubre de 2009,Partido Revolucionario Institucional
Nuevo León,Rodrigo Medina de la Cruz,4 de octubre de 2009 - 3 de octubre de 2015,Partido Revolucionario Institucional
Nuevo León,Jaime Heliodoro Rodríguez Calderón,4 de octubre de 2015 - 31 de diciembre de 2017,Independiente
